;Codigo;Descripcion_aperturas;Clasificador;Periodo;Indice_IPC;v_m_IPC;v_i_a_IPC;Region
3175;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201712;122,8606;1,9;22,9;Pampeana
3176;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201712;119,8308;1,9;19,8;Noreste
3177;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201712;118,6132;0,4;18,6;Noroeste
3178;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201712;119,8785;2,2;19,9;Cuyo
3179;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201712;121,7159;2,6;21,7;Patagonia
3265;11.1;Restaurantes y comidas fuera del hogar;Grupos;201712;122,9296;1,8;22,9;Pampeana
3266;11.1;Restaurantes y comidas fuera del hogar;Grupos;201712;119,8083;1,8;19,8;Noreste
3267;11.1;Restaurantes y comidas fuera del hogar;Grupos;201712;118,5676;0,3;18,6;Noroeste
3268;11.1;Restaurantes y comidas fuera del hogar;Grupos;201712;119,8336;2;19,8;Cuyo
3269;11.1;Restaurantes y comidas fuera del hogar;Grupos;201712;121,7469;2,5;21,7;Patagonia
3305;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201712;125,3499;2,5;25,3;Pampeana
3306;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201712;125,5343;1,4;25,5;Noreste
3307;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201712;126,0922;1,8;26,1;Noroeste
3308;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201712;126,5159;3,2;26,5;Cuyo
3309;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201712;122,2684;1,4;22,3;Patagonia
3310;01.2.1;Café, té, yerba y cacao;Clase;201712;120,7902;1,3;20,8;Pampeana
3311;01.2.1;Café, té, yerba y cacao;Clase;201712;121,2427;1,7;21,2;Noreste
3312;01.2.1;Café, té, yerba y cacao;Clase;201712;119,3057;1,2;19,3;Noroeste
3313;01.2.1;Café, té, yerba y cacao;Clase;201712;122,7031;2,3;22,7;Cuyo
3314;01.2.1;Café, té, yerba y cacao;Clase;201712;120,4593;2;20,5;Patagonia
3315;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201712;120,1184;1,8;20,1;Pampeana
3316;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201712;128,3428;3,8;28,3;Noreste
3317;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201712;123,734;2,2;23,7;Noroeste
3318;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201712;123,3151;1,2;23,3;Cuyo
3319;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201712;123,6041;1,8;23,6;Patagonia
3346;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201712;122,6855;1,8;22,7;GBA
3366;11.1;Restaurantes y comidas fuera del hogar;Grupos;201712;122,7832;1,7;22,8;GBA
3374;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201712;120,6912;1,9;20,7;GBA
3375;01.2.1;Café, té, yerba y cacao;Clase;201712;123,3341;1,9;23,3;GBA
3376;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201712;125,1967;1,2;25,2;GBA
3435;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201801;126,1637;2,7;22,3;Pampeana
3436;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201801;121,1752;1,1;16,2;Noreste
3437;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201801;122,2644;3,1;19,3;Noroeste
3438;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201801;123,6989;3,2;21,4;Cuyo
3439;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201801;125,4157;3;22,6;Patagonia
3525;11.1;Restaurantes y comidas fuera del hogar;Grupos;201801;125,1959;1,8;22,2;Pampeana
3526;11.1;Restaurantes y comidas fuera del hogar;Grupos;201801;120,3761;0,5;15,9;Noreste
3527;11.1;Restaurantes y comidas fuera del hogar;Grupos;201801;121,5737;2,5;19,1;Noroeste
3528;11.1;Restaurantes y comidas fuera del hogar;Grupos;201801;122,1459;1,9;21,2;Cuyo
3529;11.1;Restaurantes y comidas fuera del hogar;Grupos;201801;124,4163;2,2;22,5;Patagonia
3565;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201801;127,1129;1,4;25;Pampeana
3566;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201801;126,9673;1,1;23,6;Noreste
3567;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201801;128,4308;1,9;24,3;Noroeste
3568;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201801;129,5099;2,4;26,1;Cuyo
3569;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201801;124,5472;1,9;20,5;Patagonia
3570;01.2.1;Café, té, yerba y cacao;Clase;201801;123,4914;2,2;20,2;Pampeana
3571;01.2.1;Café, té, yerba y cacao;Clase;201801;122,285;0,9;20,4;Noreste
3572;01.2.1;Café, té, yerba y cacao;Clase;201801;120,348;0,9;18,9;Noroeste
3573;01.2.1;Café, té, yerba y cacao;Clase;201801;124,2128;1,2;20,6;Cuyo
3574;01.2.1;Café, té, yerba y cacao;Clase;201801;121,4349;0,8;17,7;Patagonia
3575;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201801;121,5231;1,2;19,6;Pampeana
3576;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201801;130,0919;1,4;27,9;Noreste
3577;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201801;126,2317;2;24,2;Noroeste
3578;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201801;124,2137;0,7;19;Cuyo
3579;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201801;124,9646;1,1;22,5;Patagonia
3606;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201801;126,6387;3,2;22,6;GBA
3626;11.1;Restaurantes y comidas fuera del hogar;Grupos;201801;125,1665;1,9;22,4;GBA
3634;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201801;122,8324;1,8;20,5;GBA
3635;01.2.1;Café, té, yerba y cacao;Clase;201801;126,2107;2,3;24,4;GBA
3636;01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201801;127,3593;1,7;25,5;GBA
3695;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201802;128,549;1,9;23;Pampeana
3696;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201802;124,5937;2,8;15;Noreste
3697;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201802;125,1444;2,4;21;Noroeste
3698;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201802;129,9498;5,1;25,2;Cuyo
3699;11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201802;128,1766;2,2;21,3;Patagonia
3785;11.1;Restaurantes y comidas fuera del hogar;Grupos;201802;127,86;2,1;23,1;Pampeana
3786;11.1;Restaurantes y comidas fuera del hogar;Grupos;201802;124,0153;3;14,8;Noreste
3787;11.1;Restaurantes y comidas fuera del hogar;Grupos;201802;124,6395;2,5;21;Noroeste
3788;11.1;Restaurantes y comidas fuera del hogar;Grupos;201802;128,9996;5,6;25,4;Cuyo
3789;11.1;Restaurantes y comidas fuera del hogar;Grupos;201802;127,4704;2,5;21,3;Patagonia
3825;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201802;130,3206;2,5;25,6;Pampeana
3826;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201802;130,5265;2,8;22,9;Noreste
3827;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201802;131,2291;2,2;24,1;Noroeste
3828;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201802;132,0267;1,9;27,4;Cuyo
3829;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201802;126,1179;1,3;21,3;Patagonia
