;variedad;unidad_de_medida;precio
0;aceite_de_girasol;kg;2966.4
1;acelga;kg;466.7
2;achicoria;kg;400.0
3;acusay;kg;760.0
4;agua_sin_gas;kg;947.1
5;ajo;kg;3393.9
6;albahaca;kg;640.0
7;alcaucil;kg;2722.2
8;algodon;kg;15536.9
9;anana;kg;2277.8
10;apio;kg;833.3
11;arandano;kg;12400.0
12;arroz_blanco_simple;kg;1848.1
13;arveja;kg;1812.5
14;arvejas_secas_remojadas;kg;3778.0
15;asado;kg;10981.6
16;azucar;kg;1140.8
17;banana;kg;2273.8
18;banana;kg;1186.4
19;batata;kg;1445.3
20;batata;kg;990.2
21;berenjena;kg;1083.3
22;berro;kg;1900.0
23;brocoli;kg;1000.0
24;brote_alfa;kg;7200.0
25;brote_soja;kg;6400.0
26;cafe_molido;kg;22724.2
27;carne_picada_comun;kg;6875.9
28;cebolla;kg;295.6
29;cebolla;kg;703.7
30;cebverdeo;kg;1515.0
31;champu;kg;14475.8
32;chaucha;kg;2972.2
33;choclo;kg;1433.3
34;ciboulle;kg;9300.0
35;cilandro;kg;9400.0
36;ciruela;kg;5222.2
37;coco;kg;4100.0
38;coliflor;kg;783.3
39;cuadril;kg;13674.7
40;curcuma;kg;3700.0
41;desodorante;kg;20954.4
42;detergente_liquido;kg;2185.0
43;dulce_de_leche;kg;7722.9
44;endibia;kg;9500.0
45;escarola;kg;1000.0
46;esparrago;kg;5200.0
47;espinaca;kg;740.0
48;fideos_secos_tipo_guisero;kg;2946.3
49;filet_de_merluza_fresco;kg;10022.4
50;frutilla;kg;7466.7
51;galletitas_de_agua_envasadas;kg;4770.1
52;galletitas_dulces_envasadas_sin_relleno;kg;8199.0
53;gaseosa_base_cola;kg;1808.3
54;guayaba;kg;6500.0
55;haba;kg;2000.0
56;hamburguesas_congeladas;env_4_u;5098.6
57;harina_de_trigo_comun_000;kg;905.2
58;hinojo;kg;1000.0
59;hongos;kg;14500.0
60;huevos_de_gallina;docena;4032.3
61;jabon_de_tocador;kg;8568.2
62;jabon_en_pan;kg;5880.8
63;jabon_en_polvo_para_ropa;kg;3062.9
64;jamon_cocido;kg;16097.2
65;jengibre;kg;3600.0
66;kale;kg;900.0
67;kiwi;kg;4950.0
68;kumquat;kg;2300.0
69;lavandina;kg;1164.1
70;leche_en_polvo_entera;kg;13419.5
71;lechuga;kg;4574.6
72;lechuga;kg;705.6
73;lima;kg;1083.3
74;limon;kg;1119.2
75;limon;kg;540.5
76;mamon;kg;2300.0
77;mandarina;kg;698.4
78;mandioca;kg;350.0
79;mango;kg;2444.4
80;mani;kg;3400.0
81;manteca;kg;18685.5
82;manzana;kg;1531.5
83;manzana_deliciosa;kg;2390.6
84;mburucuya;kg;2882.4
85;melon;kg;2400.0
86;menta;kg;9400.0
87;nalga;kg;14379.8
88;naranja;kg;971.0
89;naranja;kg;537.0
90;nuez;kg;6600.0
91;oregano;kg;9600.0
92;pack_choy;kg;2766.7
93;paleta;kg;11363.7
94;palta;kg;4728.6
95;pan_de_mesa;kg;7632.5
96;pan_frances_tipo_flauta;kg;3661.3
97;panales_descartables;10_u;3974.9
98;papa;kg;398.6
99;papa;kg;870.5
100;pelon;kg;6500.0
101;pepino;kg;2200.0
102;pera;kg;1281.5
103;perejil;kg;1300.0
104;pimiento;kg;2642.3
105;pitahaya;kg;16400.0
106;platano;kg;2444.4
107;pollo_entero;kg;3910.0
108;polvo_para_flan;8_porciones;1091.6
109;pomelo;kg;733.3
110;puerro;kg;1600.0
111;queso_cremoso;kg;11158.0
112;queso_pategras;kg;21922.3
113;queso_sardo;kg;21189.8
114;rabanito;kg;2000.0
115;radicchio;kg;6500.0
116;radicheta;kg;1200.0
117;remolacha;kg;746.7
118;repbrusel;kg;1300.0
119;repollo;kg;538.7
120;romero;kg;8400.0
121;rucula;kg;2000.0
122;sal_fina;kg;2621.7
123;salame;kg;19492.0
124;salchicha_tipo_viena;env_6_u;2031.4
125;salchichon;kg;9212.1
126;salvia;kg;8400.0
127;sandia;kg;1591.7
128;tomate;kg;2014.4
129;tomate_entero_en_conserva;kg;5011.7
130;tomate_redondo;kg;2175.9
131;tomillo;kg;8800.0
132;uva;kg;4839.3
133;yerba_mate;kg;4572.0
134;yogur_firme;kg;10855.4
135;zanahoria;kg;425.8
136;zapallito;kg;873.0
137;zapallo;kg;438.5
138;zapallo_anco;kg;855.0
